filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
55;00077043;516435;MASC HASKELL BRILHO ESPELHADO ;;0;202607;35;
58;00080564;457614;RUFFLES CEBOLA E SALSA 76G/68G;;3;202608;5;
33;00074487;461566;RUFFLES CHURRASCO 68G         ;;9;202608;7;
66;00080112;461566;RUFFLES CHURRASCO 68G         ;;3;202608;7;
37;00018007;485920;BISC PIRAQUE MALTADO AVELA 85G;;35;202607;2;
10;00042268;485920;BISC PIRAQUE MALTADO AVELA 85G;;25;202607;2;
71;00069550;521336;BISC PIRAQUE CREAM CRACKER 184;;4;202608;3,5;
37;00018070;528034;BISC PIRAQUE LEITE MAL LIGHT 1;;1;202607;2,5;
51;00019768;537498;BISC PIRAQUE LEITE E COCO 132G;;11;202607;2,45;
55;00032006;537498;BISC PIRAQUE LEITE E COCO 132G;;5;202607;2,45;
10;00042311;537498;BISC PIRAQUE LEITE E COCO 132G;;21;202607;2,45;
5;00003561;537506;BISC PIRAQUE LEITE MALTADO 132;;13;202607;2,45;
80;00011403;537506;BISC PIRAQUE LEITE MALTADO 132;;2;202608;2,45;
8;00013177;537506;BISC PIRAQUE LEITE MALTADO 132;;1;202608;2,45;
67;00016804;537506;BISC PIRAQUE LEITE MALTADO 132;;11;202608;2,45;
67;00016812;537506;BISC PIRAQUE LEITE MALTADO 132;;6;202608;esta com pack promocional;
33;00012616;537506;BISC PIRAQUE LEITE MALTADO 132;;2;202607;esta com pack promocional;
26;00028544;537506;BISC PIRAQUE LEITE MALTADO 132;;10;202608;esta com pack promocional;
79;00025198;537506;BISC PIRAQUE LEITE MALTADO 132;;5;202608;esta com pack promocional;
46;00028470;537506;BISC PIRAQUE LEITE MALTADO 132;;4;202608;esta com pack promocional;
74;00034259;537506;BISC PIRAQUE LEITE MALTADO 132;;14;202607;esta com pack promocional;
47;00040676;537506;BISC PIRAQUE LEITE MALTADO 132;;3;202608;esta com pack promocional;
71;00042843;537506;BISC PIRAQUE LEITE MALTADO 132;;3;202607;esta com pack promocional;
71;00042840;537506;BISC PIRAQUE LEITE MALTADO 132;;3;202607;esta com pack promocional;
23;00043043;537506;BISC PIRAQUE LEITE MALTADO 132;;2;202607;esta com pack promocional;
5;00049626;537506;BISC PIRAQUE LEITE MALTADO 132;;5;202607;esta com pack promocional;
40;00053157;537506;BISC PIRAQUE LEITE MALTADO 132;;1;202608;esta com pack promocional;
79;00070016;537506;BISC PIRAQUE LEITE MALTADO 132;;2;202607;esta com pack promocional;
67;00016785;537514;BISC PIRAQUE MALTADO CHOCO 132;;2;202607;esta com pack promocional;
60;00026544;537514;BISC PIRAQUE MALTADO CHOCO 132;;1;202607;esta com pack promocional;
40;00062897;537514;BISC PIRAQUE MALTADO CHOCO 132;;1;202607;esta com pack promocional;
5;00050952;602565;PROT SOL FAC VITAMINA C FPS80 ;;1;202608;10;
77;00014829;648006;TÃ”NICO EQUILI VIZZELA OIL CONT;;4;202607;20;
